,concept,question,id
14,bolt,What are the properties of a bolt (hardware)?,bolt
15,bongo,"What are the properties of a bongo (musical instrument, percussion instrument)?",bongo
16,brush,"What are the properties of a brush (hair tool, grooming tool)?",brush
17,bumper,What are the properties of a bumper (part of car)?,bumper
18,cabinet,"What are the properties of a cabinet (storage, kitchen furniture)?",cabinet
19,can,"What are the properties of a can (drink container, container)?",can
20,cane,What are the properties of a cane (medical equipment)?,cane
21,canvas,What are the properties of a canvas (art supply)?,canvas
22,cape,What are the properties of a cape (clothing)?,cape
23,car seat,What are the properties of a car seat (part of car)?,car_seat
24,card,What are the properties of a card (game)?,card
25,charger,What are the properties of a charger (electronic accessory)?,charger
26,chip,"What are the properties of a chip (computer hardware, electronic component)?",chip
27,cleat,"What are the properties of a cleat (shoe, sports equipment)?",cleat
28,column,What are the properties of a column (architectural element)?,column
29,crane,What are the properties of a crane (construction equipment)?,crane
30,crate,"What are the properties of a crate (container, shipping accessory)?",crate
31,cream,What are the properties of a cream (beauty product)?,cream
32,crown,What are the properties of a crown (headwear)?,crown
33,dolly,What are the properties of a dolly (moving equipment)?,dolly
34,drumstick,What are the properties of a drumstick (musical equipment)?,drumstick
35,dynamite,What are the properties of a dynamite (explosive)?,dynamite
36,eclair,What are the properties of an eclair (pastry)?,eclair
37,face mask,"What are the properties of a face mask (sports equipment, protective clothing)?",face_mask
38,film,What are the properties of a film (film strip)?,film
39,flipper,What are the properties of a flipper (swimming equipment)?,flipper
40,frame,What are the properties of a frame (painting)?,frame
41,garter,"What are the properties of a garter (clothing accessory, wedding accessory)?",garter
42,glass,What are the properties of a glass (drinkware)?,glass
43,globe,What are the properties of a globe (geography device)?,globe
44,gourd,What are the properties of a gourd (vegetable)?,gourd
45,grille,What are the properties of a grille (part of car)?,grille
46,hairpin,What are the properties of a hairpin (hair accessory)?,hairpin
47,handlebar,What are the properties of a handlebar (part of bicycle)?,handlebar
48,hash,What are the properties of a hash (food)?,hash
49,honeypot,"What are the properties of a honeypot (container, kitchen storage)?",honeypot
50,iron,"What are the properties of an iron (household appliance, home appliance)?",iron
51,jack,"What are the properties of a jack (car tool, tool)?",jack
52,keyboard,What are the properties of a keyboard (musical instrument)?,keyboard
53,lifesaver,"What are the properties of a lifesaver (flotation device, safety device)?",lifesaver
54,mantle,What are the properties of a mantle (fireplace part)?,mantle
55,mast,What are the properties of a mast (part of boat)?,mast
56,mat,What are the properties of a mat (floor covering)?,mat
57,mixer,What are the properties of a mixer (kitchen appliance)?,mixer
58,moccasin,"What are the properties of a moccasin (shoe, footwear)?",moccasin
59,mouthpiece,"What are the properties of a mouthpiece (sports equipment, protective sports gear)?",mouthpiece
60,mullet,What are the properties of a mullet (hairstyle)?,mullet
61,nail,"What are the properties of a nail (hardware, fastener)?",nail
62,noisemaker,What are the properties of a noisemaker (party supply)?,noisemaker
63,nutcracker,What are the properties of a nutcracker (kitchen tool)?,nutcracker
64,organ,What are the properties of an organ (musical instrument)?,organ
65,patch,What are the properties of a patch (clothing accessory)?,patch
66,pin,What are the properties of a pin (sewing accessory)?,pin
67,plate,What are the properties of a plate (dinnerware)?,plate
68,poker,What are the properties of a poker (fireplace tool)?,poker
69,polisher,What are the properties of a polisher (tool)?,polisher
70,radiator,"What are the properties of a radiator (heating device, home appliance)?",radiator
71,ramp,What are the properties of a ramp (handicap accessibility feature)?,ramp
72,reel,What are the properties of a reel (film equipment)?,reel
73,retainer,What are the properties of a retainer (dental device)?,retainer
74,rim,What are the properties of a rim (tire rim)?,rim
75,riser,"What are the properties of a riser (seat, stage equipment)?",riser
76,roadsweeper,What are the properties of a roadsweeper (vehicle)?,roadsweeper
77,saddle,What are the properties of a saddle (sports equipment)?,saddle
78,scale,What are the properties of a scale (weight measurement tool)?,scale
79,scanner,What are the properties of a scanner (office equipment)?,scanner
80,scoop,"What are the properties of a scoop (kitchen tool, utensil)?",scoop
81,scooter,"What are the properties of a scooter (vehicle, toy)?",scooter
82,sheath,What are the properties of a sheath (knife accessory)?,sheath
83,shoulder,What are the properties of a shoulder (body part)?,shoulder
84,sidecar,What are the properties of a sidecar (motorcycle accessory)?,sidecar
85,siren,What are the properties of a siren (alarm)?,siren
86,skewer,What are the properties of a skewer (kitchen tool)?,skewer
87,sling,What are the properties of a sling (arm sling)?,sling
88,slot,What are the properties of a slot (hole)?,slot
89,staple,What are the properties of a staple (office supply)?,staple
90,stilt,"What are the properties of a stilt (walking device, toy)?",stilt
91,stool,"What are the properties of a stool (furniture, chair, seat)?",stool
92,swab,What are the properties of a swab (personal hygiene item)?,swab
93,tab,"What are the properties of a tab (part of can, part of can)?",tab
94,tack,"What are the properties of a tack (fastener, office supply)?",tack
95,tag,What are the properties of a tag (label)?,tag
96,tape,What are the properties of a tape (office supply)?,tape
97,tee,What are the properties of a tee (golf equipment)?,tee
98,tile,"What are the properties of a tile (building material, flooring)?",tile
99,trolley,"What are the properties of a trolley (vehicle, public transportation)?",trolley
100,trunk,"What are the properties of a trunk (storage, container)?",trunk
101,valve,"What are the properties of a valve (plumbing equipment, plumbing hardware)?",valve
102,water fountain,What are the properties of a water fountain (water dispenser)?,water_fountain
103,wedge,What are the properties of a wedge (tool)?,wedge
104,wine cooler,"What are the properties of a wine cooler (kitchen equipment, wine accessory)?",wine_cooler
105,wing,What are the properties of a wing (part of airplane)?,wing
106,baton,What are the properties of a baton (drum major)?,baton3
107,bracelet,What are the properties of a bracelet (wristband)?,bracelet1
108,calf,What are the properties of a calf (leg)?,calf2
109,file,What are the properties of a file (card index)?,file2
110,hook,What are the properties of a hook (door hook)?,hook1
111,juicer,What are the properties of a juicer (citrus fruit squeezer)?,juicer1
112,mouse,What are the properties of a mouse (computer mouse)?,mouse2
113,punch,What are the properties of a punch (pliers)?,punch2
114,screen,What are the properties of a screen (projection)?,screen1
115,shell,What are the properties of a shell (nut shell)?,shell3
116,stove,What are the properties of a stove (kitchen stove)?,stove1
