preprocessed_feature,concept_id,run_nr,amount_runs_feature_occured,amount_runs_feature_occured_within_concept,decoded_feature
it has a wattle (fleshy flap hanging from the neck),turkey,17,5,5,has a wattle
it makes gobbling sounds,turkey,17,3,3,makes gobbling sounds
it is a musical instrument,tuba,17,10,7,is an instrument
it is a musical instrument,tuba,17,10,7,is a musical instrument
it is a musical instrument,tuba,17,10,7,is musical
it is large,tuba,17,10,10,is large
it is made of brass,tuba,17,10,5,is made of brass
it has a deep sound,tuba,17,7,7,has a deep sound
it is played by blowing air into a mouthpiece,tuba,17,4,3,is played by blowing air into a mouthpiece
it has valves,tuba,17,10,9,has valves
it is used in orchestras and bands,tuba,17,10,7,is used in bands
it is used in orchestras and bands,tuba,17,10,7,is used in orchestras
it has a wide bell,tuba,17,7,7,has a wide bell
it is heavy,tuba,17,10,5,is heavy
it produces low-pitched notes,tuba,17,3,3,produces low - pitched notes
it is played by musicians,tuba,17,4,2,is played by musicians
it has a shell,turtle,17,10,10,has a shell
it is slow,turtle,17,4,2,is slow
it is a reptile,turtle,17,10,10,is a reptile
it has four legs,turtle,17,10,10,has four legs
it lays eggs,turtle,17,10,10,lays eggs
it has a hard shell,turtle,17,8,2,has a hard shell
it can live in water and on land,turtle,17,5,4,lives in water and on land
it is cold-blooded,turtle,17,10,8,is cold - blooded
it has scales,turtle,17,10,8,has scales
it has a beak-like mouth,turtle,17,9,8,has a beak - like mouth
it has one wheel,unicycle,17,10,10,has one wheel
it is used for riding,unicycle,17,9,1,is used to ride
it requires balance,unicycle,17,7,7,requires balance
it is a vehicle,unicycle,17,10,4,is a vehicle
it has a seat,unicycle,17,10,10,has a seat
it has pedals,unicycle,17,10,10,has pedals
it is used for performing tricks,unicycle,17,5,1,is used to perform tricks
it is used by circus performers,unicycle,17,3,3,is used by circus performers
it is difficult to ride,unicycle,17,3,3,is difficult to ride
it is unique,unicycle,17,1,1,is unique
it has a frame,unicycle,17,10,3,has a frame
it is a mode of transportation,unicycle,17,10,2,is a mode of transportation
it is foldable,umbrella,17,6,4,is foldable
it has a handle,umbrella,17,10,10,has a handle
it provides shade,umbrella,17,3,3,provides shade
it is waterproof,umbrella,17,10,5,is waterproof
it is used for rain,umbrella,17,1,1,is used for rain
it is portable,umbrella,17,10,9,is portable
it has a canopy,umbrella,17,9,9,has a canopy
it protects from the sun,umbrella,17,1,1,protects from the sun
it has ribs,umbrella,17,7,7,has ribs
it has a shaft,umbrella,17,7,4,has a shaft
it can be opened and closed,umbrella,17,9,4,is opened and closed
it is lightweight,umbrella,17,10,2,is lightweight
it comes in various sizes and colors,umbrella,17,7,4,comes in various sizes and colors
it has wheels,van,17,10,8,has wheels
it is a vehicle,van,17,10,10,is a vehicle
it is used for transportation,van,17,10,8,is used for transportation
it has an engine,van,17,10,8,has an engine
it requires fuel,van,17,3,1,requires fuel
it has a larger cargo space,van,17,7,7,has a larger cargo space
it has doors,van,17,10,7,has a door
it can carry passengers,van,17,10,4,carries passengers
it is often used for commercial purposes,van,17,1,1,is often used for commercial purposes
it has seats,van,17,10,4,has a seat
it has a windshield,van,17,5,2,has a windshield
it has mirrors,van,17,2,1,has a mirror
it is larger than a car,van,17,5,4,is larger than a car
it is mechanical,typewriter,17,10,10,is mechanical
it has keys,typewriter,17,10,10,has keys
it is used for typing,typewriter,17,4,4,is used to type
it is vintage,typewriter,17,2,2,is vintage
it has a keyboard,typewriter,17,3,1,has a keyboard
it prints on paper,typewriter,17,2,2,prints on paper
it uses ink ribbons,typewriter,17,8,8,uses ink ribbons
it creates text,typewriter,17,1,1,creates text
it is heavy,typewriter,17,10,4,is heavy
it is made of metal,typewriter,17,10,3,is made of metal
it has a carriage return lever,typewriter,17,1,1,has a carriage return lever
it has a roller,typewriter,17,3,3,has a roller
it makes clicking sounds,typewriter,17,1,1,makes clicking sounds
it is thin,veil,17,10,7,is thin
it is translucent,veil,17,9,7,is translucent
it is made of fabric,veil,17,10,8,is made of fabric
it covers the face,veil,17,9,9,covers the face
it is worn by brides,veil,17,4,4,is worn by brides
it is used for modesty,veil,17,4,4,is used for modesty
it is lightweight,veil,17,10,3,is lightweight
it is delicate,veil,17,7,1,is delicate
it can be embroidered or decorated,veil,17,1,1,is embroidered or decorated
it is usually white or ivory,veil,17,1,1,is ivory
it is usually white or ivory,veil,17,10,1,is white
it can be long or short,veil,17,10,5,is short
it can be long or short,veil,17,10,5,is long
it drapes over the head and shoulders,veil,17,1,1,drghts over the head and shoulders
it has strings,violin,17,10,6,has strings
it is made of wood,violin,17,10,10,is made of wood
it is a musical instrument,violin,17,10,8,is an instrument
it is a musical instrument,violin,17,10,8,is a musical instrument
it is a musical instrument,violin,17,10,8,is musical
it has a bow,violin,17,4,2,has a bow
it produces sound,violin,17,10,3,produces sound
it has a curved body,violin,17,10,9,has a curved body
it has a neck,violin,17,10,3,has a neck
it has pegs,violin,17,2,1,has pegs
it is played with a bow,violin,17,10,10,is played with a bow
it is used in orchestras,violin,17,10,5,is used in orchestras
it has a bridge,violin,17,5,2,has a bridge
it has a tailpiece,violin,17,6,6,has a tailpiece
it has tusks,walrus,17,10,10,has tusks
it is large,walrus,17,10,10,is large
it is a marine mammal,walrus,17,10,10,is a marine mammal
it is a marine mammal,walrus,17,10,10,is a mammal
it is a marine mammal,walrus,17,10,10,is marine
it has flippers,walrus,17,10,9,has flippers
it has whiskers,walrus,17,10,10,has whiskers
it is found in cold regions,walrus,17,1,1,is found in cold regions
it has thick blubber,walrus,17,2,2,has thick blubber
it is heavy,walrus,17,10,1,is heavy
it lives in the arctic,walrus,17,2,2,lives in the arctic
it has a brownish-grey color,walrus,17,2,2,has a brownish - gray color
it feeds on mollusks and other sea life,walrus,17,1,1,feeds on mollusks and other sea life
it is magical,wand,17,6,6,is magical
it is a tool,wand,17,10,2,is a tool
it is used by wizards,wand,17,8,8,is used by wizards
it is made of wood,wand,17,10,9,is made of wood
it is long,wand,17,10,10,is long
it is thin,wand,17,10,8,is thin
it has a core,wand,17,7,6,has a core
it can cast spells,wand,17,2,2,casts spells
it is lightweight,wand,17,10,6,is lightweight
it is used in fictional stories,wand,17,1,1,is used in fictional stories
it is associated with fantasy,wand,17,1,1,is associated with fantasy
it can be ornate or simple in design,wand,17,6,3,is ornate or simple in design
it has wings,wasp,17,10,9,has wings
it is yellow,wasp,17,10,10,is yellow
it has black stripes,wasp,17,2,1,has black stripes
it can sting,wasp,17,7,7,stings
it is an insect,wasp,17,10,10,is an insect
it flies,wasp,17,10,10,flies
it is small,wasp,17,10,4,is small
it is aggressive,wasp,17,10,9,is aggressive
it can bite,wasp,17,2,1,bites
it builds nests,wasp,17,10,10,builds nests
it has a slender body,wasp,17,9,3,has a slender body
it has legs,wasp,17,10,1,has legs
it has antennae,wasp,17,10,6,has antennae
it is a predator,wasp,17,10,3,is a predator
it is feared by many people,wasp,17,1,1,is feared by many people
it is large,whale,17,10,10,is large
it is a mammal,whale,17,10,10,is a mammal
it lives in the ocean,whale,17,10,9,lives in the ocean
it has fins,whale,17,10,10,has fins
it has a tail,whale,17,10,9,has a tail
it breathes through a blowhole,whale,17,8,6,breathes through a blowhole
it is intelligent,whale,17,10,3,is intelligent
it has a thick layer of blubber,whale,17,4,2,has a thick layer of blubber
it communicates using vocalizations,whale,17,4,4,communicates using vocalizations
it feeds on krill or small fish,whale,17,4,4,feeds on krill or small fish
it can dive deep underwater,whale,17,7,1,dghts deep underwater
it is round,wheel,17,10,10,is round
it has a circular shape,wheel,17,8,6,has a circular shape
it rotates,wheel,17,10,10,rotates
it is used for transportation,wheel,17,10,10,is used for transportation
it has a hub,wheel,17,2,2,has a hub
it has spokes or a solid disc,wheel,17,4,4,has spokes or a solid disk
it is made of various materials (wood,wheel,17,10,8,is made of various materials
it reduces friction,wheel,17,10,10,reduces friction
it provides support to vehicles,wheel,17,1,1,provides support to vehicles
it facilitates motion,wheel,17,1,1,facilitates motion
it has one wheel,wheelbarrow,17,10,8,has one wheel
it is used for gardening,wheelbarrow,17,9,3,is used to garden
it is used for construction,wheelbarrow,17,8,3,is used in construction
it has handles,wheelbarrow,17,10,5,has a handle
it is made of metal,wheelbarrow,17,10,9,is made of metal
it is used for carrying heavy loads,wheelbarrow,17,3,2,is used to carry heavy loads
it has a tray,wheelbarrow,17,5,5,has a tray
it is durable,wheelbarrow,17,10,2,is durable
it is a tool,wheelbarrow,17,10,3,is a tool
it can be pushed or pulled,wheelbarrow,17,2,1,is pushed or pulled
it helps in transportation of materials,wheelbarrow,17,1,1,helps in transportation of materials
it is long,whip,17,10,10,is long
it is flexible,whip,17,10,10,is flexible
it is made of leather or synthetic materials,whip,17,9,6,is made of leather or synthetic materials
it has a handle,whip,17,10,10,has a handle
it is used for striking,whip,17,5,5,is used to strike
it can cause pain,whip,17,6,6,causes pain
it is used in horse riding,whip,17,7,7,is used in horse riding
it is sometimes used in bdsm practices,whip,17,1,1,is sometimes used in bdsm practices
it can create a cracking sound,whip,17,1,1,creates a cracking sound
it has a tapered end or a lash,whip,17,1,1,has a tapered end or a lash
it is luxurious,yacht,17,10,9,is luxurious
it is expensive,yacht,17,8,7,is expensive
it is used for recreation,yacht,17,10,8,is used for recreation
it floats,yacht,17,10,1,floats
it is a boat,yacht,17,9,9,is a boat
it sails on water,yacht,17,4,4,sails on water
it has a deck,yacht,17,8,6,has a deck
it has sails (if a sailing yacht),yacht,17,7,7,has sails
it has a motor (if a motor yacht),yacht,17,10,2,has a motor
it is used for travel,yacht,17,1,1,is used for travel
it is large,yacht,17,10,2,is large
it has cabins,yacht,17,5,5,has cabins
it can accommodate guests,yacht,17,1,1,accommodates guests
it is soft,worm,17,10,5,is soft
it is slimy,worm,17,8,5,is slimy
it is small,worm,17,10,4,is small
it is long,worm,17,10,3,is long
it is cylindrical,worm,17,10,2,is cylindrical
it lives in soil,worm,17,10,10,lives in soil
it has no legs,worm,17,4,4,has legs
it is an invertebrate,worm,17,10,10,is an invertebrate
it is a decomposer,worm,17,6,6,is a decomposer
it helps in soil aeration,worm,17,1,1,helps in soil aeration
it reproduces through fragmentation or mating,worm,17,3,3,reproduces through mating
it reproduces through fragmentation or mating,worm,17,1,1,reproduces through fragmentation
it has a simple nervous system,worm,17,2,2,has a simple nervous system
it is small,whistle,17,10,10,is small
it is portable,whistle,17,10,8,is portable
it produces sound,whistle,17,10,9,produces sound
it is used for signaling,whistle,17,9,9,is used to signal
it is made of metal or plastic,whistle,17,10,10,is made of metal
it is made of metal or plastic,whistle,17,10,10,is made of plastic
it has a hole for blowing air,whistle,17,5,5,has a hole for blowing air
it is used in sports,whistle,17,10,5,is used in sports
it is used by referees,whistle,17,6,6,is used by referees
it can be loud,whistle,17,3,2,is loud
it is used for emergency situations,whistle,17,2,2,is used for emergency situations
it has stripes,zebra,17,10,6,has stripes
it is black and white,zebra,17,10,5,is white
it is black and white,zebra,17,10,5,is black
it is a mammal,zebra,17,10,10,is a mammal
it is a herbivore,zebra,17,10,7,is a herbivore
it is native to africa,zebra,17,9,2,is native to africa
it is a part of the horse family,zebra,17,3,3,is a part of the horse family
it has a mane,zebra,17,10,10,has a mane
it has hooves,zebra,17,10,9,has hooves
it has a tail,zebra,17,10,3,has a tail
it lives in herds,zebra,17,9,6,lives in herds
it is prey for predators like lions and hyenas,zebra,17,2,2,is hyenas
it is prey for predators like lions and hyenas,zebra,17,2,2,is prey for predators like lions
it has wings,bat1,17,10,10,has wings
it is a mammal,bat1,17,10,10,is a mammal
it can fly,bat1,17,10,10,flies
it is nocturnal,bat1,17,10,10,is nocturnal
it uses echolocation,bat1,17,10,10,uses echolocation
it has fur,bat1,17,10,10,has fur
it eats insects or fruit depending on the species,bat1,17,1,1,eats insects or fruit depending on the species
it has a small body,bat1,17,7,5,has a small body
it hangs upside down when resting,bat1,17,7,7,hangs upside down
it lives in caves or trees,bat1,17,5,5,lives in caves
it lives in caves or trees,bat1,17,5,4,lives in trees
it has sharp teeth,bat1,17,10,9,has sharp teeth
it has large ears for hearing,bat1,17,1,1,has large ears for hearing
it has feathers,chicken1,17,10,10,has feathers
it is domesticated,chicken1,17,10,9,is domesticated
it lays eggs,chicken1,17,10,10,lays eggs
it is a bird,chicken1,17,10,10,is a bird
it clucks,chicken1,17,4,4,clucks
it has a beak,chicken1,17,10,9,has a beak
it has wings,chicken1,17,10,9,has wings
it is a farm animal,chicken1,17,10,9,is a farm animal
it is used for meat,chicken1,17,10,3,is used for meat
it is omnivorous,chicken1,17,10,7,is omnivorous
it has two legs,chicken1,17,10,10,has two legs
it has a comb and wattle,chicken1,17,2,2,has a comb and wattle
it can fly short distances,chicken1,17,10,6,flies short distances
it has fur,calf1,17,10,8,has fur
it is young,calf1,17,10,9,is young
it is a mammal,calf1,17,10,10,is a mammal
it is a baby animal,calf1,17,6,6,is a baby animal
it is small,calf1,17,10,2,is small
it is cute,calf1,17,5,2,is cute
it has four legs,calf1,17,10,6,has four legs
it belongs to the bovine family,calf1,17,3,3,belongs to the bovine family
it is the offspring of a cow,calf1,17,2,2,is the offspring of a cow
it drinks milk from its mother,calf1,17,3,3,drinks milk from its mother
it has hooves,calf1,17,10,7,has hooves
it has a tail,calf1,17,10,5,has a tail
it has ears,calf1,17,7,3,has ears
it has fur,mouse1,17,10,10,has fur
it is small,mouse1,17,10,10,is small
it is a rodent,mouse1,17,10,9,is a rodent
it has whiskers,mouse1,17,10,10,has whiskers
it has a tail,mouse1,17,10,4,has a tail
it has teeth,mouse1,17,10,2,has teeth
it has 4 legs,mouse1,17,10,5,has four legs
it is an animal,mouse1,17,10,1,is an animal
it has ears,mouse1,17,7,2,has ears
it is nocturnal,mouse1,17,10,10,is nocturnal
it is a mammal,mouse1,17,10,10,is a mammal
it is timid,mouse1,17,1,1,is timid
it eats seeds and insects,mouse1,17,7,4,eats insects
it eats seeds and insects,mouse1,17,9,7,eats seeds
it has bristles,brush,17,10,10,has bristles
it is used for grooming,brush,17,9,9,is used to groom
it detangles hair,brush,17,7,7,detangles hair
it is handheld,brush,17,10,1,is handheld
it has a handle,brush,17,10,10,has a handle
it is used for styling hair,brush,17,7,6,is used for styling hair
it comes in various sizes,brush,17,10,3,comes in various sizes
it can be made of plastic or wood,brush,17,10,10,is made of plastic
it can be made of plastic or wood,brush,17,10,9,is made of wood
it can have different bristle materials (such as nylon or boar),brush,17,1,1,has different bristle materials
it has a bowl,pipe1,17,10,9,has a bowl
it is used for smoking,pipe1,17,9,9,is used to smoke
it is made of wood,pipe1,17,10,6,is made of wood
it has a stem,pipe1,17,10,9,has a stem
it is used for tobacco,pipe1,17,3,3,is used for tobacco
it is a smoking device,pipe1,17,2,2,is a smoking device
it is held in the mouth,pipe1,17,1,1,is held in the mouth
it can be decorative,pipe1,17,10,6,is decorative
it is cylindrical,pipe1,17,10,1,is cylindrical
it has a mouthpiece,pipe1,17,10,5,has a mouthpiece
it can be made of different materials (like glass or metal),pipe1,17,8,1,is made of different materials
it is made of fabric,cape,17,10,5,is made of fabric
it is worn around the neck,cape,17,10,3,is worn around the neck
it drapes over the shoulders,cape,17,3,3,drapes over the shoulders
it is a piece of clothing,cape,17,9,8,is a piece of clothing
it is used for fashion,cape,17,4,4,is used for fashion
it is often associated with superheroes,cape,17,2,2,is often associated with superheroes
it can be long or short,cape,17,10,7,is short
it can be long or short,cape,17,10,9,is long
it can be made from various materials (e.g. silk,cape,17,4,1,is made from various materials
it does not have sleeves,cape,17,2,2,does not have sleeves
it is flat,mat,17,10,10,is flat
it is made of fabric or rubber,mat,17,10,1,is made of fabric
it is made of fabric or rubber,mat,17,10,1,is made of rubber
it covers the floor,mat,17,3,3,covers the floor
it provides cushioning,mat,17,10,10,provides cushioning
it can be decorative,mat,17,10,9,is decorative
it absorbs moisture,mat,17,6,6,absorbes moisture
it is used for yoga or exercise,mat,17,5,1,is used for exercise
it is used for yoga or exercise,mat,17,1,1,is used for yoga
it helps prevent slipping,mat,17,1,1,helpes prevent slipping
it can be rolled up and stored,mat,17,1,1,is rolled up and stored
it comes in various sizes and shapes,mat,17,10,3,comes in various sizes and shapes
it can be used indoors or outdoors,mat,17,5,2,is used indoors or outdoors
it is small,pin,17,10,10,is small
it is thin,pin,17,10,9,is thin
it is made of metal,pin,17,10,10,is made of metal
it has a sharp point,pin,17,9,5,has a sharp point
it has a round head,pin,17,6,5,has a round head
it is used for sewing,pin,17,10,10,is used to sew
it is used for holding fabric together,pin,17,9,9,is used to hold fabric together
it can be used in crafts,pin,17,5,2,is used for crafts
it is easy to lose,pin,17,1,1,is easy to lose
it can poke fingers,pin,17,1,1,pokes fingers
it comes in various lengths and thicknesses,pin,17,5,2,comes in various lengths and thicknesses
it has sharp teeth,alligator,25,10,10,has sharp teeth
it is a reptile,alligator,25,10,10,is a reptile
it is carnivorous,alligator,25,10,10,is carnivorous
it has a long tail,alligator,25,10,7,has a long tail
it has a strong jaw,alligator,25,5,2,has a strong jaw
it has thick skin,alligator,25,10,2,has thick skin
it has scales,alligator,25,10,5,has scales
it lives in water,alligator,25,10,4,lives in water
it is an ambush predator,alligator,25,8,4,is an ambush predator
it is green or dark grey in color,alligator,25,3,3,is green or dark gray in color
it has powerful limbs,alligator,25,1,1,has powerful limbs
it lays eggs,alligator,25,10,8,lays eggs
it is electric,trolley,17,10,8,is electric
it runs on tracks,trolley,17,10,10,runs on tracks
it is used for public transportation,trolley,17,9,5,is used for public transportation
it has multiple compartments,trolley,17,4,3,has multiple compartments
it carries passengers,trolley,17,10,2,carries passengers
it has seats,trolley,17,10,3,has a seat
it is operated by a driver or conductor,trolley,17,3,2,is operated by a driver
it is operated by a driver or conductor,trolley,17,2,1,is operated by a conductor
it has a bell or horn,trolley,17,3,1,has horns
it has a bell or horn,trolley,17,5,1,has a bell
it has doors for boarding and alighting,trolley,17,2,1,has alighting
it has doors for boarding and alighting,trolley,17,2,1,has doors for boarding
it is eco-friendly,trolley,17,8,5,is eco - friendly
it travels at moderate speeds,trolley,17,3,3,travels at moderate speeds
it has windows,trolley,17,10,4,has windows
it is flat,plate,17,10,10,is flat
it is round,plate,17,10,10,is round
it is made of ceramic or porcelain,plate,17,3,1,is made of ceramic or porcelain
it is used for serving food,plate,17,9,7,is used to serve food
it has a smooth surface,plate,17,10,1,has a smooth surface
it can be decorative,plate,17,10,4,is decorative
it comes in various sizes and shapes,plate,17,10,1,comes in various sizes and shapes
it is breakable,plate,17,3,3,is breakable
it is stackable,plate,17,9,4,is stackable
it is dishwasher safe,plate,17,9,5,is dishwasher safe
it can be made of other materials like glass or plastic,plate,17,2,1,is made of other materials like glass
it can be made of other materials like glass or plastic,plate,17,1,1,is made of other materials like plastic
it is a musical instrument,accordion,25,10,10,is an instrument
it is a musical instrument,accordion,25,10,10,is a musical instrument
it is a musical instrument,accordion,25,10,10,is musical
it has buttons or keys,accordion,25,10,9,has keys
it has buttons or keys,accordion,25,10,9,has buttons
it has bellows,accordion,25,8,8,has bellows
it produces sound,accordion,25,10,9,produces sound
it is played by squeezing and expanding the bellows,accordion,25,2,2,is played by squeezing and expanding the bellows
it has reeds inside,accordion,25,3,1,has reeds inside
it is often used in folk music,accordion,25,2,2,is often used in folk music
it can play both melody and harmony,accordion,25,2,2,plays both melody and harmony
it has a distinctive sound,accordion,25,8,6,has a distinctive sound
it is portable,accordion,25,10,10,is portable
it is a vehicle,ambulance,25,10,9,is a vehicle
it transports patients,ambulance,25,8,8,transports patients
it has sirens,ambulance,25,9,9,has sirens
it has flashing lights,ambulance,25,9,9,has flashing lights
it is associated with emergencies,ambulance,25,2,2,is associated with emergencies
it is usually white or yellow with red or green markings,ambulance,25,1,1,is white or yellow with red or green markings
it has a stretcher,ambulance,25,5,5,has a stretcher
it carries medical equipment,ambulance,25,8,8,carries medical equipment
it is driven by trained professionals (paramedics or emts),ambulance,25,2,2,is driven by trained professionals
it has a radio for communication,ambulance,25,1,1,has a radio for communication
it is heavy,anchor,25,10,10,is heavy
it is made of metal,anchor,25,10,10,is made of metal
it has flukes,anchor,25,10,10,has flukes
it has a shank,anchor,25,7,7,has a shank
it is used to secure boats and ships,anchor,25,3,3,is used to secure boats and ships
it is submerged underwater,anchor,25,5,5,is submerged underwater
it has a stock,anchor,25,10,5,has a stock
it has a crown,anchor,25,3,2,has a crown
it connects to a chain or rope,anchor,25,3,3,connects to a chain
it connects to a chain or rope,anchor,25,3,3,connects to a rope
it provides stability,anchor,25,6,5,provides stability
it has a ring or eye for attaching the rope or chain,anchor,25,1,1,has a ring or eye for attaching the rope or chain
it is small,ant,25,10,10,is small
it is an insect,ant,25,10,10,is an insect
it has six legs,ant,25,10,10,has six legs
it has antennae,ant,25,10,10,has antennae
it lives in colonies,ant,25,10,10,lives in colonies
it has a segmented body,ant,25,10,8,has a segmented body
it can carry objects larger than its body weight,ant,25,1,1,carries objects larger than its body weight
it has mandibles,ant,25,1,1,has mandibles
it communicates through pheromones,ant,25,2,2,communicates through pheromones
it is found worldwide,ant,25,4,3,is found worldwide
it has a queen and workers,ant,25,4,4,has a queen and workers
it is a garment,apron,25,10,3,is a garment
it is worn around the waist,apron,25,10,7,is worn around the waist
it protects clothing,apron,25,5,5,protects clothing
it is made of fabric,apron,25,10,10,is made of fabric
it has ties or straps,apron,25,10,6,has straps
it has ties or straps,apron,25,8,8,has ties
it is used in cooking or cleaning,apron,25,1,1,is used in cleaning
it is used in cooking or cleaning,apron,25,10,1,is used in cooking
it comes in various colors and patterns,apron,25,10,5,comes in various colors and patterns
it has a front side,apron,25,2,2,has a front side
it may have pockets,apron,25,2,1,may have pockets
it can be made of different materials like cotton or polyester,apron,25,1,1,is made of different materials like polyester
it can be made of different materials like cotton or polyester,apron,25,2,1,is made of different materials like cotton
it is a container,ashtray,25,7,5,is a container
it holds ashes,ashtray,25,3,3,holds ashes
it is used for smoking,ashtray,25,9,3,is used to smoke
it is made of various materials (glass,ashtray,25,10,2,is made of various materials
it has grooves or indentations for resting cigarettes or cigars,ashtray,25,1,1,has grooves or indentations for resting cigarettes or cigars
it is fire-resistant,ashtray,25,8,7,is fire - resistant
it is easy to clean,ashtray,25,9,7,is easy to clean
it comes in various shapes and sizes,ashtray,25,10,2,comes in various shapes and sizes
it is a fruit,apple,25,10,10,is a fruit
it is edible,apple,25,10,7,is edible
it is round,apple,25,10,10,is round
it has a skin,apple,25,9,8,has a skin
it has seeds,apple,25,10,10,has seeds
it grows on trees,apple,25,10,10,grows on trees
it is sweet or tart in taste,apple,25,5,3,is sweet or tart in taste
it comes in various colors (red,apple,25,10,6,comes in various colors
it is nutritious,apple,25,10,2,is nutritious
it can be used in cooking and baking,apple,25,5,3,is used in cooking and baking
it has a stem,apple,25,10,6,has a stem
it is a vegetable,asparagus,25,10,9,is a vegetable
it is green,asparagus,25,10,10,is green
it is edible,asparagus,25,10,7,is edible
it has a unique flavor,asparagus,25,5,4,has a unique flavor
it is a source of vitamins and minerals,asparagus,25,5,1,is a source of vitamins
it is a source of vitamins and minerals,asparagus,25,10,6,is minerals
it has a spear-like shape,asparagus,25,9,9,has a spear - like shape
it can be cooked or eaten raw,asparagus,25,7,2,is cooked or eaten raw
it has a fibrous texture,asparagus,25,9,7,has a fibrous texture
it can be grilled or steamed,asparagus,25,6,6,is grilled or steamed
it grows in spring,asparagus,25,3,3,grows in spring
it has a slightly bitter taste,asparagus,25,10,5,has a slightly bitter taste
it is a fruit,avocado,25,10,10,is a fruit
it has a seed,avocado,25,2,1,has a seed
it is green,avocado,25,10,9,is green
it has a creamy texture,avocado,25,4,4,has a creamy texture
it is high in healthy fats,avocado,25,9,9,is high in healthy fats
it is used in guacamole,avocado,25,8,8,is used in guacamole
it has a skin,avocado,25,9,5,has a skin
it is oval-shaped,avocado,25,10,7,is oval - shaped
it contains vitamins and minerals,avocado,25,8,2,contains minerals
it contains vitamins and minerals,avocado,25,8,2,contains vitamins
it can be eaten raw,avocado,25,9,2,is eaten raw
it ripens after being picked,avocado,25,4,4,ripens after being picked
it has a handle,axe,25,10,10,has a handle
it is a tool,axe,25,10,10,is a tool
it is used for chopping wood,axe,25,10,9,is used to chop wood
it has a blade,axe,25,10,5,has a blade
it is made of metal and wood,axe,25,10,10,is made of metal
it is made of metal and wood,axe,25,10,7,is made of wood
it is heavy,axe,25,10,10,is heavy
it is sharp,axe,25,10,5,is sharp
it can be used as a weapon,axe,25,10,4,is used as a weapon
it has a head,axe,25,10,7,has a head
it is used in camping and outdoor activities,axe,25,4,4,is used in camping and outdoor activities
it is a fruit,banana,25,10,10,is a fruit
it is yellow,banana,25,10,10,is yellow
it has a peel,banana,25,10,10,has a peel
it is curved,banana,25,7,7,is curved
it is edible,banana,25,10,5,is edible
it is high in potassium,banana,25,7,7,is high in potassium
it grows on trees,banana,25,10,8,grows on trees
it is tropical,banana,25,10,4,is tropical
it has a sweet taste,banana,25,9,1,has a sweet taste
it can be used in cooking and baking,banana,25,5,2,is used in cooking and baking
it ripens over time,banana,25,5,5,ripens over time
it has a soft texture when ripe,banana,25,8,4,has a soft texture
it is inflatable,balloon,25,10,10,is inflatable
it is made of rubber or latex,balloon,25,10,5,is made of rubber
it is made of rubber or latex,balloon,25,10,10,is made of latex
it is lightweight,balloon,25,10,9,is lightweight
it comes in various colors,balloon,25,10,5,comes in various colors
it can be filled with air or helium,balloon,25,10,10,is filled with helium
it can be filled with air or helium,balloon,25,10,10,is filled with air
it can float when filled with helium,balloon,25,10,10,floats
it is used for decorations,balloon,25,2,2,is used for decorations
it is associated with celebrations and parties,balloon,25,2,2,is associated with celebrations and parties
it can be shaped into different forms,balloon,25,4,4,is shaped into different forms
it is a musical instrument,banjo,25,10,8,is an instrument
it is a musical instrument,banjo,25,10,8,is a musical instrument
it is a musical instrument,banjo,25,10,8,is musical
it has strings,banjo,25,10,8,has strings
it has a round body,banjo,25,10,10,has a round body
it is played with fingers or a pick,banjo,25,8,6,is played with fingers or a pick
it produces sound,banjo,25,10,1,produces sound
it has a neck,banjo,25,10,7,has a neck
it has frets,banjo,25,10,8,has frets
it has tuning pegs,banjo,25,10,7,has tuning pegs
it is used in folk and country music,banjo,25,8,8,is used in country music
it is used in folk and country music,banjo,25,8,8,is used in folk
it has a bridge,banjo,25,5,3,has a bridge
it is made of wood and metal,banjo,25,10,7,is made of metal
it is made of wood and metal,banjo,25,10,7,is made of wood
it is used for carrying items,bag,25,10,9,is used to carry items
it has a handle or strap,bag,25,2,2,has a straps
it has a handle or strap,bag,25,10,3,has a handle
it can be made of various materials like cloth,bag,25,1,1,is made of various materials like cloth
it has an opening or closure,bag,25,1,1,has a closure
it has an opening or closure,bag,25,3,2,has a opening
it comes in different sizes and shapes,bag,25,7,4,comes in different sizes and shapes
it can be reusable or disposable,bag,25,10,8,is reusable
it can be reusable or disposable,bag,25,10,6,is disposable
it can be designed with various patterns or colors,bag,25,1,1,is designed with various colors
it can be designed with various patterns or colors,bag,25,1,1,is designed with various patterns
it can be lightweight or heavy-duty,bag,25,3,2,is lightweight or heavy - duty
it is round,ball,25,10,10,is round
it is used in sports,ball,25,10,8,is used in sports
it is made of various materials (rubber,ball,25,10,4,is made of various materials
it can bounce,ball,25,10,10,bounces
it can be thrown,ball,25,7,4,is thrown
it can be kicked,ball,25,4,3,is kicked
it has a smooth surface,ball,25,10,6,has a smooth surface
it comes in various sizes and colors,ball,25,7,2,comes in various sizes and colors
it is a toy,ball,25,10,1,is a toy
it is used for recreation and exercise,ball,25,5,1,is used for exercise
it is used for recreation and exercise,ball,25,10,2,is used for recreation
it is a container,basket,25,7,3,is a container
it is made of woven materials,basket,25,5,5,is made of woven materials
it has a handle,basket,25,10,9,has a handle
it is used for storage,basket,25,10,7,is used for storage
it is lightweight,basket,25,10,10,is lightweight
it can be decorative,basket,25,10,9,is decorative
